id|Name|Sex|Age|Height|Weight|Team
5530|Siamak "Matt" Ghaffari|M|34|193|130|United States
5531|Jaouad Gharib|M|36|176|66|Morocco
5532|Komeil Nemat Ghasemi|M|28|186|115|Iran
5533|Ionu Gheorghe|M|20|173|64|Romania
5534|Marin Gheorghe|M|32|160|51|Romania
5535|Marius Costel Gherman|M|21|170|64|Romania
5536|Simona Cristina Gherman (Alexandru-)|F|31|170|58|Romania
5537|Alberto Marco Giovanni Ghibellini|M|23|185|76|Italy
5538|Alessandro Ghibellini|M|28|182|75|Italy
5539|Habiba Al-Ghribi-Boudra|F|28|174|51|Tunisia
5540|Gi Seong-Yong|M|23|187|75|South Korea
5541|Massimo Giacoppo|M|29|184|90|Italy
5542|Andrea Giani|M|34|196|97|Italy
5543|Simone Giannelli|M|19|198|92|Italy
5544|Spyridon "Spyros" Gianniotis|M|36|185|78|Greece
5545|Khristina Giazitzidou|F|22|168|59|Greece
5546|Gilberto Amauri "Giba" de Godoy Filho|M|35|192|85|Brazil
5547|Gemma Jeanette Gibbons|F|25|173|70|Great Britain
5548|John Haskell "Tex" Gibbons|M|28|185|79|United States
5549|Giuseppe Gibilisco|M|25|184|78|Italy
5550|Cheryl Ann Gibson (-Brokop)|F|16|173|59|Canada
5551|Duff Gibson|M|39|185|100|Canada
5552|Gregory P. "Greg" Gibson|M|30|190|100|United States
5553|Robert Michael "Rob" Gibson|M|26|195|101|Canada
5554|Csaba Giczy|M|23|179|75|Hungary
5555|Rebecca Giddens|F|26|165|63|United States
5556|Borislav Krastev Gidikov|M|22|170|80|Bulgaria
5557|Andrius Giedraitis|M|27|195|86|Lithuania
5558|Eberhard Gienger|M|24|176|68|West Germany
5559|Markus Gier|M|26|180|75|Switzerland
5560|Michael Gier|M|29|183|72|Switzerland
5561|Reiner Gies|M|25|180|64|West Germany
5562|Dieter Gieseler|M|19|184|74|Germany
5563|Merritt Hayward Giffin|M|20|186|84|United States
5564|Albert Giger|M|25|164|57|Switzerland
5565|Daniel Giger|M|26|186|75|Switzerland
5566|Elena Gigli|F|19|192|82|Italy
5567|Juan Jorge Giha Yarur, Jr.|M|37|171|94|Peru
5568|Laura Gil Collado|F|24|191|78|Spain
5569|Enrico Gilardi|M|23|193|94|Italy
5570|Juan Ignacio Gilardi|M|34|186|91|Argentina
5571|Alberto Gilardino|M|22|185|78|Italy
5572|Alfred Carleton "A. C." Gilbert|M|24|170|68|United States
5573|Bradley N. "Brad" Gilbert|M|27|185|79|United States
5574|Glenroy John Gilbert|M|27|183|79|Canada
5575|Kaleigh Gilchrist|F|24|176|77|United States
5576|Virginia Anne  "Ginny" Gilder|F|26|170|67|United States
5577|Curtis Jon "Curt" Giles|M|33|175|86|Canada
5578|David James Giles|M|31|183|106|Australia
5579|Stephen Cory "Steve" Giles|M|28|183|82|Canada
5580|Nicolas Gill|M|28|185|105|Canada
5581|John David "Dave" Gillanders|M|21|181|70|United States
5582|Bertrand Fabien Gille|M|34|187|98|France
5583|Christian Gille|M|32|184|92|Germany
5584|Guillaume Alain Gille|M|36|192|97|France
5585|Nicholas "Nick" Gillingham|M|25|183|72|Great Britain
5586|Erwin Gillmeister|M|29|178|70|Germany
5587|Jennifer Gillom|F|24|190|79|United States
5588|Gilmar Lus Rinaldi|M|25|185|82|Brazil
5589|Matthew Gilmore|M|28|178|67|Belgium
5590|Rebecca Ellen Gilmore (-Manuel)|F|21|165|60|Australia
5591|Fabien Pierre Aurlien Dominique Gilot|M|32|193|85|France
5592|Nailya Fayzrakhmanovna Gilyazova|F|27|161|58|Soviet Union
5593|Estela Gimnez Cid|F|17|165|43|Spain
5594|Pablo Jnior Gimnez|M|23|177|75|Paraguay
5595|Harald Gimpel|M|20|173|65|East Germany
5596|Nicu Ging|M|23|158|55|Romania
5597|Arthur Gingell|M|24|175|66|Great Britain
5598|Drew Cameron Ginn|M|37|195|85|Australia
5599|Emanuel David "Manu" Ginbili Maccari|M|31|198|91|Argentina
5600|Matthias Lukas Ginter|M|22|190|88|Germany
5601|Silvio Giobellina|M|29|172|73|Switzerland-1
5602|Salvatore Gionta|M|29|182|81|Italy
5603|Claudia Giordani|F|20|165|59|Italy
5604|Mikheil Giorgadze|M|27|188|91|Soviet Union
5605|Alex Giorgetti|M|24|187|78|Italy
5606|Giovane Farinazzo Gvio|M|33|196|90|Brazil
5607|Luciano Giovannetti|M|38|175|78|Italy
5608|Marco Giovannetti|M|22|189|82|Italy
5609|Andrea Giovi|M|28|183|80|Italy
5610|Girolamo Giovinazzo|M|32|170|63|Italy
5611|Christine Girard|F|27|160|63|Canada
5612|Pierre Girard|M|34|180|75|Ballerina IV
5613|Patricia Girard-Lno|F|28|164|51|France
5614|Marc Girardelli|M|28|178|82|Luxembourg
5615|Olivier Damien Girault|M|35|183|86|France
5616|Cameron Girdlestone|M|28|190|92|Australia
5617|Dan Grleanu|M|26|196|89|Romania
5618|Carlos Armando Girn Gutirrez|M|25|174|75|Mexico
5619|Mathieu Giroux|M|24|177|80|Canada
5620|Dominique Gisin|F|28|172|68|Switzerland
5621|Carolina Anna "Lien" Gisolf (-Verdam)|F|17|181|69|Netherlands
5622|Arsen Idrisovich Gitinov|M|23|170|74|Russia
5623|Niccol Gitto|M|29|190|90|Italy
5624|Jean-Pierre Giudicelli|M|25|178|67|France
5625|Odette Giuffrida|F|21|160|52|Italy
5626|Elena Giurc|F|30|151|41|Romania
5627|Luca Giustolisi|M|26|188|82|Italy
5628|Shakhram Dzhamshedovich Giyasov|M|23|174|69|Uzbekistan
5629|Egil Gjelland|M|28|186|80|Norway
5630|Douglas Seneca "Doug" Gjertsen|M|24|195|84|United States
5631|Svetlana Alekseyevna Gladysheva|F|22|170|73|Russia
5632|Jasmin Glaesser|F|24|167|58|Canada
5633|Martina Glagow-Beck|F|30|158|48|Germany
5634|Klaus Glahn|M|30|187|101|West Germany
5635|Harvey Edward Glance|M|19|173|67|United States
5636|Jonathan "Joe" Glanfield|M|29|183|70|Great Britain
5637|Fredy Glanzmann|M|24|169|63|Switzerland
5638|Henry Gla|M|22|173|68|East Germany
5639|Jay Glaser|M|31|178|70|United States
5640|Sarah "Pease" Glaser (Herndon-)|F|38|179|68|United States
5641|Victor Wayne Glasgow|M|26|190|86|United States
5642|Walter Merrill Glasgow, Jr.|M|19|183|80|United States
5643|Josip Glasnovi|M|33|178|82|Croatia
5644|Alisha Rebecca Glass|F|28|183|72|United States
5645|Bernhard Glass|M|22|188|104|East Germany
5646|Kimberly Marie "Kim" Glass|F|23|190|75|United States
5647|Olga Vyacheslavovna Glatskikh|F|15|170|50|Russia
5648|Troy Edward Glaus|M|19|195|98|United States
5649|Laura Glauser|F|22|178|65|France
5650|Marcel Glvan|M|21|179|80|Romania
5651|Anna Leonidovna Glazkova|F|19|164|43|Belarus
5652|Timothy Patrick "Tim" Gleason|M|27|183|99|United States
5653|Brian Alan Glencross|M|27|175|79|Australia
5654|Dean William Glenesk|M|26|178|71|United States
5655|Brian Alexander Glennie|M|21|185|89|Canada
5656|Michael Glckner|M|23|181|73|Germany
5657|Margot Glockshuber|F|18|166|50|West Germany-1
5658|Ernest Glover|M|21|180|68|Great Britain
5659|Helen Rachel M. Glover|F|30|177|67|Great Britain
5660|Lidiya Timofeyevna Glubokova|F|26|158|59|Soviet Union
5661|Andrey Valeryevich Glukhov|M|24|196|99|Russia
5662|Aleksey Yuryevich Glushkov|M|25|171|69|Russia
5663|Nadezhda Sergeyevna Glyzina-Fedotova|F|28|175|68|Russia
5664|Andrzej Gb|M|21|158|51|Poland
5665|Jan Wojciech Gmyrek|M|25|177|79|Poland
5666|Serge David Gnabry|M|21|173|74|Germany
5667|Maxi Gnauck|F|15|148|33|East Germany
5668|Priscilla Gneto|F|20|164|52|France
5669|Go Gi-Hyeon|F|15|168|58|South Korea
5670|Go Seok-Chang|M|25|187|82|South Korea
5671|Go Yeong-Min|M|24|182|73|South Korea
5672|Tessa Gobbo|F|25|185|82|United States
5673|Davit Gobejishvili|M|29|164|110|Unified Team
5674|Barbara Gbel (-Ballerstedt)|F|17|172|66|Germany
5675|Cline Sandrine Francine Goberville|F|25|156|53|France
5676|Igor Goanin|M|22|190|82|Yugoslavia
5677|ivko Goci|M|33|193|93|Serbia
5678|Beverley Lanita "Bev" Goddard-Callender|F|27|170|59|Great Britain
5679|Sbastien Godefroid|M|25|183|88|Belgium
5680|Walter Godefroot|M|21|171|73|Belgium
5681|Arkadiusz Godel|M|20|188|83|Poland
5682|Maartje Goderie|F|28|158|50|Netherlands
5683|Herv Godignon|M|40|172|72|France
5684|Elodie Godin|F|27|191|80|France
5685|John Carl Godina|M|28|193|129|United States
5686|Yelena Mikhaylovna "Lena" Godina|F|22|196|72|Russia
5687|Timothy Richard Goebel|M|21|170|61|United States
5688|Marc-Kevin Goellner|M|25|196|85|Germany
5689|Daniel Goens|M|20|185|78|Belgium
5690|Nicholas "Nick" Goepper|M|19|183|73|United States
5691|Lena Goeling|F|30|171|56|Germany
5692|Taniele Gofers|F|23|183|80|Australia
5693|Gina Elena Gogean (-Groza)|F|17|150|40|Romania
5694|Vladimer "Lado" Gogoladze|M|22|169|64|Soviet Union
5695|Leri Gogoladze|M|22|185|87|Soviet Union
5696|Tanya Gogova (-Ayshinova)|F|30|178|72|Bulgaria
5697|Giorgi Gogshelidze|M|32|185|96|Georgia
5698|Goh Liu Ying|F|27|166|56|Malaysia
5699|Goh V Shem|M|27|180|70|Malaysia
5700|Matthew "Matt" Gohdes|M|22|180|80|Australia
5701|Francis Xavier "Moose" Goheen|M|26|183|99|United States
5702|Roland Ghler|M|25|191|84|East Germany
5703|Christine Marion Elisabeth Goitschel (-Branger)|F|19|172|62|France
5704|Micheline Franoise Marielle Goitschel|F|22|169|64|France
5705|Vaeceslav Gojan|M|25|162|56|Moldova
5706|Vladimir Gojkovi|M|23|188|92|Serbia and Montenegro
5707|Jakov Gojun|M|26|203|112|Croatia
5708|Susann Goksr-Bjerkrheim|F|30|168|64|Norway
5709|Nadka Vangelova Golcheva|F|28|173|63|Bulgaria
5710|Grace Elizabeth "Gracie" Gold|F|18|165|54|United States
5711|Natalie Golda (-Benson)|F|26|180|84|United States
5712|Andreas "Andi" Goldberger|M|21|172|54|Austria
5713|Scott Daniel Goldblatt|M|25|187|77|United States
5714|Douglas James "Doug" Golder|M|28|167|60|Australia
5715|Anders Christian Golding|M|28|186|95|Denmark
5716|Tatyana Vladimirovna Goldobina|F|24|177|76|Russia
5717|Bla Goldovnyi|M|26|176|78|Hungary
5718|Bjrn Goldschmidt|M|28|184|90|Germany
5719|Eugenia Golea|F|17|159|43|Romania
5720|Bohumil Golian|M|37|175|72|Czechoslovakia
5721|Slaana Goli|F|28|189|75|Yugoslavia
5722|Aleksandr Nikolayevich Golikov|M|27|180|79|Soviet Union
5723|Vladimir Nikolayevich Golikov|M|25|183|84|Soviet Union
5724|Marianna Golimowska (Chyliska-)|F|32|167|60|Poland
5725|Jozef Golonka|M|30|174|75|Czechoslovakia
5726|Anton Sergeyevich Golotsutskov|M|23|165|63|Russia
5727|Oleg Sergeyevich Golovanov|M|25|181|76|Soviet Union
5728|Vladimir Semyonovich Golovanov|M|25|172|90|Soviet Union
5729|Gennady Gennadyevich Golovkin|M|22|180|75|Kazakhstan
5730|Mariya Vasilyevna Golubnichaya|F|28|167|60|Soviet Union
5731|Aleksandr Vyacheslavovich Golubyov|M|21|174|74|Russia
5732|Slavko Golua|M|32|196|100|Croatia
5733|Rolf Glz|M|21|176|67|West Germany
5734|Francisco Javier Gmez Noya|M|29|178|69|Spain
5735|Jess Gmez Portugal Montenegro|M|39|158|57|Mexico
5736|Jos Gmez Mustelier|M|21|182|75|Cuba
5737|Salvador Emilio Gmez Agera|M|28|194|96|Spain
5738|Yasser Richard Gmez Soto|M|20|175|77|Cuba
5739|Anna Gomis|F|30|158|55|France
5740|milie Gomis|F|28|178|64|France
5741|Maria Francisca Philomena "Mia" Gommers (-Hoogakkers)|F|29|166|53|Netherlands
5742|Thomas Eugen "Tom" Gompf|M|25|180|75|United States
5743|Sergey Viktorovich Gonchar|M|27|188|93|Russia
5744|Svetlana Valentinovna Goncharenko (Doronina-)|F|29|173|63|Russia
5745|Aleksandr Sergeyevich Goncharov|M|21|178|78|Soviet Union
5746|Vladislav Olegovich Goncharov|M|20|173|66|Belarus
5747|Nataliya Mikhaylovna Goncharova|F|16|155|50|Russia
5748|Jozef Gnci|M|30|186|81|Slovakia
5749|Fernand Gonder|M|22|170|65|France
5750|Gong Sang-Jeong|F|17|161|50|South Korea
5751|Tullio Gonnelli|M|23|184|78|Italy
5752|Charles Anthoine Gonnet|M|26|172|76|France
5753|Tatyana Pavlovna Gonobobleva (Semyonova-)|F|23|166|55|Soviet Union
5754|Bogdan Kazimierz Gonsior|M|31|196|82|Poland
5755|Joseph Franois Gonzales|M|23|173|71|France
5756|Paul Garza Gonzales, Jr.|M|20|174|48|United States
5757|Antonio Gonzlez Izquierdo|M|26|175|75|Spain
5758|Arstides Gonzlez Ortiz|M|23|186|75|Puerto Rico
5759|Asley Gonzlez Montero|M|22|179|90|Cuba
5760|Driulys Gonzlez Morales|F|30|162|63|Cuba
5761|Fernando Francisco Gonzlez Ciuffardi|M|28|182|82|Chile
5762|Joel Gonzlez Bonilla|M|26|185|68|Spain
5763|Julio Valentn Gonzlez Ferreira|M|22|191|83|Paraguay
5764|Cristian Alberto "Kily" Gonzlez Peret|M|30|176|73|Argentina
5765|Luis Oscar Gonzlez|M|23|185|75|Argentina
5766|Marco Antonio Gonzlez Junquera|M|26|177|75|Spain
5767|Mara Guadalupe Gonzlez Romero|F|27|162|47|Mexico
5768|Mariana Alejandra Gonzlez Oliva Gulla|F|32|158|50|Argentina
5769|Mariano Nicols Gonzlez|M|23|175|77|Argentina
5770|Mariano "Mario" Gonzlez Lugo|M|19|165|51|Mexico
5771|Mara Victoria "Mariv" Gonzlez Laguillo|F|30|153|49|Spain
5772|Norberto Gonzlez Miranda|M|28|184|79|Cuba
5773|Paul Gonzalez|M|35|186|86|Australia
5774|Ral Gonzlez Rodrguez|M|32|175|64|Mexico
5775|Ral Gonzlez Snchez|M|25|153|51|Cuba
5776|Romn Javier Gonzlez|M|30|210|140|Argentina
5777|Sebastin Ignacio Gonzlez Valds|M|21|173|67|Chile
5778|Yoanka Gonzlez Prez|F|32|168|59|Cuba
5779|Nicholas John "Nicky" Gooch|M|21|178|75|Great Britain
5780|Ernst Good|M|26|175|72|Switzerland
5781|Anna Goodale|F|25|183|79|United States
5782|Brian Stuart Goodell|M|17|173|67|United States
5783|Daniel Goodfellow|M|19|167|58|Great Britain
5784|Michael Goodfellow|M|25|184|88|Great Britain
5785|Duncan Alexander Goodhew|M|23|183|80|Great Britain
5786|Paul Martin Goodison|M|30|180|78|Great Britain
5787|Magnus "Mike" Goodman|M|22|171|68|Canada
5788|Scott Linton Goodman|M|22|184|77|Australia
5789|Zoran Gopevi|M|25|196|95|Yugoslavia
5790|Valery Pavlovich Gopin|M|28|186|87|Unified Team
5791|Nina Yuryevna Gopova-Trofimova|F|27|172|71|Soviet Union
5792|Kamen Lozanov Goranov|M|28|182|98|Bulgaria
5793|Nikolay Stepanovich Gorbachov|M|24|182|83|Soviet Union
5794|Aleksandr Valeryevich Gorbatikov|M|22|187|86|Russia
5795|Tatyana Igorevna Gorbunova|F|18|176|63|Russia
5796|Nelli Vissarionovna Gorbyatkova|F|22|174|71|Soviet Union
5797|Yelena Yegorovna Gorchakova|F|31|167|69|Soviet Union
5798|Fortune Everett Gordien|M|34|184|104|United States
5799|Alastair Gordon|M|23|193|91|Australia
5800|Bridgette C. Gordon|F|21|183|72|United States
5801|Chrisann Gordon|F|21|168|65|Jamaica
5802|Edward Lansing "Ed" Gordon, Jr.|M|24|190|82|United States
5803|Lalonde Keida Gordon|M|23|179|83|Trinidad and Tobago
5804|Mary Diana Gordon-Watson|F|24|162|56|Great Britain
5805|Aleksandr Yudayevich Gorelik|M|22|183|82|Soviet Union-2
5806|Leon Goretzka|M|21|189|79|Germany
5807|Viola Goretzki (-Landvoigt)|F|19|182|77|East Germany
5808|Istvn Grgnyi|M|25|187|84|Hungary
5809|Elisabeth Grgl|F|28|167|66|Austria
5810|Jerzy Pawe Gorgo|M|27|187|88|Poland
5811|Karina Khavazhevna Goricheva|F|23|160|63|Kazakhstan
5812|Giorgio Gorla|M|39|178|76|Italy
5813|Giulia Gorlero|F|25|180|73|Italy
5814|Sergey Vadimovich Gorlukovich|M|26|181|77|Soviet Union
5815|Francis Xavier "Frank" Gorman|M|26|178|70|United States
5816|Shelley Ann Gorman-Sandie|F|31|181|73|Australia
5817|Reinaldo Berto Gorno|M|33|170|63|Argentina
5818|Oleg Vladimirovich Goroby|M|25|198|95|Russia
5819|Jnos Grcs|M|21|174|65|Hungary
5820|Galina Yevgenyevna Gorokhova|F|33|168|59|Soviet Union
5821|Antonio Gorostegui Ceballos|M|22|180|70|Spain
5822|Vyacheslav Nikolayevich Gorpishin|M|34|200|100|Russia
5823|Dmitry Georgiyevich Gorshkov|M|37|180|94|Russia
5824|Mark Brian Gorski|M|24|183|93|United States
5825|Janusz Kazimierz Gortat|M|28|186|81|Poland
5826|Armin Grtz|M|29|179|75|West Germany
5827|Guido Grtzen|M|25|202|90|Netherlands
5828|Vladimir Mikhaylovich Goryayev|M|21|182|78|Soviet Union
5829|Valery Leonidovich Goryushev|M|27|198|89|Russia
5830|Richard Kevan Gosper|M|22|188|77|Australia
5831|Kennedy Goss|F|19|173|74|Canada
5832|Donald Alexander "Sandy" Goss|M|21|193|89|Canada
5833|Sarah Goss|F|23|176|73|New Zealand
5834|Christine Goss|F|31|180|72|France
5835|Susanne "Sue" Gossick|F|20|168|52|United States
5836|Ludwig "Lutz" Gssing|M|34|176|73|West Germany
5837|Miriam Gssner|F|19|167|56|Germany
5838|Marianne Gossweiler (-Fankhauser)|F|25|175|67|Switzerland
5839|Raoul Got|M|23|165|69|France
5840|Matthew Anthony W. "Matt" Gotrel|M|27|195|95|Great Britain
5841|Reto Gtschi|M|28|181|92|Switzerland-2
5842|Renate Gtschl|F|26|165|68|Austria
5843|Jeanette Gtte|F|21|168|58|Germany
5844|Stefanie Gottschlich|F|22|175|61|Germany
5845|Felix Gottwald|M|34|179|68|Austria
5846|Daniela Gtz|F|16|175|60|Germany
5847|Janina-Kristin Gtz|F|23|172|60|Germany
5848|Sadegh Goudarzi|M|24|179|74|Iran
5849|Westley Gough|M|24|185|78|New Zealand
5850|Simon Gougnard|M|25|187|84|Belgium
5851|Georgia Gould|F|32|175|61|United States
5852|Kenneth "Kenny" Gould|M|21|167|67|United States
5853|Shane Elizabeth Gould (-Innis, -Nelms)|F|15|171|59|Australia
5854|Amlie Goulet-Nadon|F|19|165|57|Canada
5855|Matthieu Roger Jean Gourdain|M|26|179|77|France
5856|Edward Orval "Ned" Gourdin|M|26|183|79|United States
5857|Meredith Charles Gourdine (Gouardino-)|M|22|183|76|United States
5858|Lourdes Gourriel Delgado|M|35|183|90|Cuba
5859|Yulieski Gourriel Castillo|M|24|180|74|Cuba
5860|Kieran Govers|M|24|179|76|Australia
5861|Cynthia Lee Goyette (-Shroeder)|F|18|166|52|United States
5862|Danielle Goyette|F|40|168|70|Canada
5863|Boris Abramovich Goykhman|M|41|182|83|Soviet Union
5864|Tatyana Gennadyevna Goyshchik (-Nasonova)|F|28|165|57|Soviet Union
5865|Dariusz Godziak|M|29|174|75|Poland
5866|Marek Gob|M|28|178|90|Poland
5867|Andrzej Jan Goota|M|20|193|91|Poland
5868|Robert Karl "Robbie" Grabarz|M|24|191|81|Great Britain
5869|Robert Karl Baldwin "Rob" Grabert|M|32|198|93|Netherlands
5870|Siegfried Josef "Sigi" Grabner|M|31|180|80|Austria
5871|Mariya Aleksandrovna Grabovetskaya|F|21|180|113|Kazakhstan
5872|Mircea Grabovschi|M|23|196|92|Romania
5873|Igor Vladimirovich Grabovsky|M|23|190|88|Soviet Union
5874|Guido Grabow|M|28|195|80|West Germany
5875|Volker Grabow|M|31|197|95|West Germany
5876|Petra Grabowski (-Borzym)|F|20|173|70|East Germany
5877|Detlev Grabs|M|19|183|76|East Germany
5878|Nenad Graan|M|22|184|78|Yugoslavia
5879|Rafael Davidovich Grach|M|27|173|73|Soviet Union
5880|Tatyana Aleksandrovna Gracheva|F|27|180|74|Russia
5881|Anna-Maria Gradante|F|23|154|48|Germany
5882|Samuel Louis "Sam" Graddy, III|M|20|178|70|United States
5883|Peter Olof Gradin|M|25|178|74|Sweden
5884|Jedward Richard "Jed" Graef|M|22|198|91|United States
5885|Lars Schmidt Grael|M|32|185|80|Brazil
5886|Martine Soffiatti Grael|F|25|168|62|Brazil
5887|Torben Schmidt Grael|M|44|185|88|Brazil
5888|Olga Borisovna Graf|F|30|160|56|Russia
5889|Stephanie "Steffi" Graf (-Zitny)|F|27|170|60|Austria
5890|Stefanie Maria "Steffi" Graf|F|23|175|59|Germany
5891|Walter Andreas Graf|M|30|182|84|Switzerland-1
5892|Anne-Caroline Graffe|F|26|176|72|France
5893|Elka Graham (-Whalan)|F|18|187|67|Australia
5894|Glenn Graham|M|20|180|68|United States
5895|Kelvin John Graham|M|28|179|84|Australia
5896|Kimberly Elaine "Kim" Graham (-Miller)|F|25|163|58|United States
5897|Lorraine Graham (-Fenton)|F|27|174|59|Jamaica
5898|Norris James "Norey" Graham|M|25|166|55|United States
5899|Timothy Joseph Michael "Tim" Graham|M|25|178|65|Great Britain
5900|Trevor Graham|M|24|182|71|Jamaica
5901|Winthrop Graham|M|26|178|72|Jamaica
5902|Roland Grahammer|M|24|178|73|West Germany
5903|Dieter Grahn|M|28|189|86|East Germany
5904|Katherine Jane Grainger|F|40|183|78|Great Britain
5905|Mats Grambusch|M|23|177|74|Germany
5906|Tom Grambusch|M|20|185|85|Germany
5907|Catherine Michelle "Cammi" Granato (-Ferraro)|F|30|170|64|United States
5908|Margherita Granbassi|F|28|165|56|Italy
5909|Cdric Grand|M|30|189|95|Switzerland-1
5910|Herv Granger-Veyron|M|34|175|70|France
5911|Sergey Yuryevich Grankin|M|27|195|96|Russia
5912|Mikael Antero Granlund|M|21|179|83|Finland
5913|Ann-Mary Gwynne Grant (Fletcher-)|F|25|170|66|Zimbabwe
5914|Hans-Ullrich Grapenthin|M|32|180|86|East Germany
5915|Dibora Monick Olga "Deborah" Gravenstijn|F|33|163|57|Netherlands
5916|Carolyn Brand "Carie" Graves|F|31|186|77|United States
5917|Edwin Darius "Ed" Graves, Jr.|M|22|185|137|United States
5918|Laura Graves|F|29|173|55|United States
5919|James Todd Graves|M|37|180|85|United States
5920|Pasquale Gravina|M|30|201|104|Italy
5921|John Joseph Gray|M|29|170|57|United States
5922|John Lee "Johnny" Gray, Jr.|M|32|191|75|United States
5923|Jeffrey "Jeff" Grayer|M|22|195|91|United States
5924|Eugene "Gene" Grazia|M|25|180|81|United States
5925|Grazielle Pinheiro Guimares Nascimento|F|23|162|54|Brazil
5926|Nikola Grbi|M|27|194|91|Serbia and Montenegro
5927|Vladimir Grbi|M|29|193|87|Serbia and Montenegro
5928|Vladimir Alekseyevich Grebennikov|M|27|177|81|Soviet Union
5929|Mathieu Grbille|M|24|198|100|France
5930|Oleg Nikolayevich Grebnev|M|24|206|110|Unified Team
5931|Andrey Vladimirovich Grechin|M|24|199|99|Russia
5932|Dnut "Dan" Grecu|M|25|170|66|Romania
5933|Chadwick Elton "Chad" Green|M|21|178|84|United States
5934|David Michael Green|M|32|183|70|Australia
5935|Deborah "Debbie" Green (-Vargas)|F|26|162|55|United States
5936|Dennis Allan Green|M|25|178|79|Australia
5937|Draymond Jamal Green|M|26|200|104|United States
5938|Ellia Green|F|23|172|75|Australia
5939|Franklin Crawford "Frank" Green|M|31|170|82|United States
5940|Nicholas David "Nick" Green|M|28|196|88|Australia
5941|Daniel Robert "Dan" Greenbaum|M|23|190|73|United States
5942|Charles Edward "Charlie" Greene|M|23|173|69|United States
5943|Joseph Tilford Lee "Joe" Greene|M|29|183|70|United States
5944|Maurice Greene|M|30|176|80|United States
5945|Nancy Catherine Greene (-Raine)|F|24|160|62|Canada
5946|Duncan Smith Gregg|M|22|193|82|United States
5947|Jessica Gregg|F|21|174|62|Canada
5948|Steven Garrett "Steve" Gregg|M|20|193|84|United States
5949|Melania Grego|F|31|171|72|Italy
5950|Andreas Gregor|M|25|162|50|East Germany
5951|Frantiek Gregor|M|25|181|80|Czechoslovakia
5952|Horst-Gnter Gregor|M|30|189|70|East Germany
5953|Teja Gregorin|F|33|171|56|Slovenia
5954|Alison Gregorka|F|23|178|73|United States
5955|Alexander John "Alex" Gregory|M|32|198|97|Great Britain
5956|Elvis Gregory Gil|M|25|182|82|Cuba
5957|Alan Gregov|M|22|190|87|Croatia
5958|Marion Ethel Greig|F|22|180|70|United States
5959|Thomas Greiner|M|25|193|90|East Germany
5960|Simone Greiner-Petter-Memm|F|26|164|57|Germany
5961|Michael Greis|M|29|176|72|Germany
5962|Seth Adam Greisinger|M|20|193|89|United States
5963|Johan Gunnar Gren (Olsson-)|M|27|175|75|Sweden
5964|Michael Ronald Grenda|M|22|177|70|Australia
5965|Hans Magnus Grepperud|M|26|195|87|Norway
5966|Jerzy Greszkiewicz|M|26|170|68|Poland
5967|Jamie Greubel (-Poser)|F|30|175|76|United States-2
5968|Matthew "Matt" Grevers|M|27|203|105|United States
5969|Catherine Rose "Katie" Greves (-Solesbury)|F|33|179|71|Great Britain
5970|Julia Emma Greville (-Radley)|F|17|178|67|Australia
5971|Alexi Singh Grewal|M|23|188|68|United States
5972|Robyn Grey-Gardner|F|19|172|73|Australia
5973|Damian Grichting|M|28|170|68|Switzerland
5974|Joachim Griese|M|31|180|75|West Germany
5975|Yolanda Yvette Griffith|F|34|193|81|United States
5976|Delorez Florence Griffith Joyner|F|28|170|57|United States
5977|Sam Griffiths|M|44|171|73|Australia
5978|Anca Grigora (-Mihilescu)|F|18|167|54|Romania
5979|Cristina Elena Grigora|F|18|156|44|Romania
5980|Andreea Florentina Grigore|F|17|146|39|Romania
5981|Tatiana Grigorieva|F|24|180|64|Australia
5982|Yury Nikolayevich Grigorovsky|M|29|178|83|Soviet Union
5983|Kirill Akopovich Grigoryan|M|24|179|88|Russia
5984|Oleg Georgiyevich Grigoryev|M|22|156|54|Soviet Union
5985|Vladimir Viktorovich Grigoryev|M|31|178|83|Russia
5986|Gabriela Grillo|F|23|178|63|West Germany
5987|Hollie Louise Grima (-Florance)|F|24|190|84|Australia
5988|Martina Grimaldi|F|23|172|65|Italy
5989|Charles Livingstone Grimes|M|21|200|99|United States
5990|Martyn Andrew Grimley|M|25|183|78|Great Britain
5991|Alexander Grimm|M|21|188|88|Germany
5992|Torben Risgaard Grimmel|M|24|182|90|Denmark
5993|Mark R. Grimmette|M|31|185|90|United States-2
5994|Kari Aalvik Grimsb|F|31|180|80|Norway
5995|Anthon Grimsmo|M|29|186|74|Norway
5996|David Allan Grindley|M|19|188|79|Great Britain
5997|Brittney Yevette Griner|F|25|203|94|United States
5998|Inka Grings|F|21|168|59|Germany
5999|Kjersti Elizabeth Grini|F|29|178|72|Norway
6000|Lars Grini|M|23|182|78|Norway
6001|Sergey Mikhaylovich Grinkov|M|27|183|74|Russia-1
6002|Anna Sergeyevna Grinyova|F|28|185|87|Russia
6003|Alla Vladimirovna Grishchenkova|F|18|171|62|Soviet Union
6004|Oksana Vladimirovna "Pasha" Grishchuk|F|26|164|50|Russia-1
6005|Aleksey Gennadyevich Grishin|M|30|170|70|Belarus
6006|Anatoly Kuzmich Grishin|M|25|181|87|Soviet Union
6007|Boris Dmitriyevich Grishin|M|30|191|90|Soviet Union
6008|Yevgeny Borisovich Grishin|M|28|189|93|Soviet Union
