id|Name|Sex|Age|Height|Weight|Team
309|Sandra Louise "Sandy" Allen-Lewis|F|29|170|59|Australia
310|Katherine Fiona "Kate" Allenby|F|26|177|72|Great Britain
311|Ade Franci Alleyne-Forte|M|23|180|73|Trinidad and Tobago
312|Derek Swithin Allhusen|M|54|180|71|Great Britain
313|Lynne Marie Allsup (-Olson)|F|15|163|59|United States
314|Carmela Allucci|F|34|167|60|Italy
315|Knut Emil Willehard Alm|M|31|170|63|Sweden
316|sa Annelie Charlotte "Lotta" Almblad (-Lindefors)|F|29|170|69|Sweden
317|Aleksandr Davletovich Almetov|M|24|178|83|Soviet Union
318|Matas Jess Almeyda|M|22|173|70|Argentina
319|Erik Albin Almlf|M|28|188|73|Sweden
320|Arvid Folke Alnevik (Andersson-)|M|28|182|70|Sweden
321|Nicolas Alnoudji|M|20|180|80|Cameroon
322|Alosio Pires Alves|M|25|182|74|Brazil
323|Jessica Alonso Bernardo|F|28|172|65|Spain
324|Mikhail Surenovich "Misha" Aloyan|M|23|164|52|Russia
325|Glory Alozie Oluchi|F|22|155|51|Nigeria
326|Thomas Alsgaard (Alsgrd-)|M|30|190|82|Norway
327|Malin Therse Alshammar|F|23|180|64|Sweden
328|Andrey Igorevich Alshan|M|28|181|78|Soviet Union
329|Ida Alstad|F|31|172|60|Norway
330|Lutz Altepost|M|26|193|92|Germany
331|Ingeburg "Inge" Althoff-Schwerzmann|F|25|180|72|Germany
332|Fernando "Nando" Altimani|M|18|177|70|Italy
333|Livia Altmann|F|19|165|64|Switzerland
334|Cristin Andrs lvarez Valenzuela|M|20|173|62|Chile
335|Eduardo C. "Eddy" Alvarez|M|24|175|72|United States
336|Jos Miguel lvarez Pozo|M|22|198|97|Cuba
337|Lzaro Jorge lvarez Estrada|M|25|173|60|Cuba
338|Yuri Alvear Orjuela|F|30|176|70|Colombia
339|Renzo Alver|M|23|178|83|Italy-2
340|Thiago Soares Alves|M|25|194|88|Brazil
341|Mohamed Aly Reda|M|29|190|91|Egypt
342|Maksim Nikolayevich Alyoshin|M|21|166|63|Russia
343|Ivan Vladimirovich Alypov|M|23|169|60|Russia
344|Simona Amnar (-Tabr)|F|20|158|44|Romania
345|Ingrda Amantova|F|19|170|69|Soviet Union
346|Alexandre "Amaral" da Silva Mariano|M|23|170|67|Brazil
347|Catello Amarante|M|24|177|73|Italy
348|Prince Amartey|M|28|177|75|Ghana
349|Jaime Santiago Amat Durn|M|26|168|73|Spain
350|Jean-Pierre Bernard Andr Amat|M|34|175|74|France
351|Juan Amat Fontanals|M|34|193|80|Spain
352|Pedro Amat Fontanals|M|20|183|67|Spain
353|Pablo "Pol" Amat Escud|M|30|183|78|Spain
354|Serena Bibiana Amato|F|26|170|63|Argentina
355|Amauri Ribeiro|M|33|198|87|Brazil
356|Amaury Antnio Pasos|M|28|190|90|Brazil
357|Jos Emilio Amavisca Grate|M|21|182|68|Spain
358|Ivn Amaya Carazo|M|22|188|85|Spain
359|Amedeo Ambron|M|21|174|77|Italy
360|Efetobore "Efe" Ambrose Emuobo|M|19|187|70|Nigeria
361|Christie Ambrosi|F|23|172|70|United States
362|Mikls Ambrus|M|31|185|90|Hungary
363|Rolf-Dieter Amend|M|23|173|74|East Germany-1
364|Sbastien Amiez|M|29|180|87|France
365|Salvatore Amitrano|M|28|184|73|Italy
366|Joseph Brian "Joe" Amlong|M|27|186|86|United States
367|Thomas Kennedy "Tom" Amlong|M|29|186|91|United States
368|Simon Ammann|M|28|171|55|Switzerland
369|Otto Ammermann|M|43|183|71|West Germany
370|Daniel Owofin Amokachi|M|23|182|78|Nigeria
371|Anthony Lewis "Tony" Amonte|M|31|183|91|United States
372|Judith Florence "Judy" Amoore-Pollock|F|24|163|55|Australia
373|Vanessa Amors Quiles|F|29|165|62|Spain
374|Nijel Carlos Amilfitano Amos|M|18|179|60|Botswana
375|Roman Amoyan|M|24|158|55|Armenia
376|Uwe Ampler|M|24|182|77|East Germany
377|Marwa Al-Amri|F|27|160|58|Tunisia
378|Gail Amundrud (-Beattie)|F|19|183|70|Canada
379|Steinar Amundsen|M|27|195|88|Norway
380|Emmanuel Amunike|M|25|176|70|Nigeria
381|Stanley Amuzie|M|20|171|85|Nigeria
382|Francis "Frank" Amyot|M|31|188|84|Canada
383|An Ba-Ul|M|22|169|66|South Korea
384|An Byeong-Geun|M|22|172|78|South Korea
385|An Dae-Hyeon|M|25|166|67|South Korea
386|An Han-Bong|M|23|163|62|South Korea
387|An Jae-Hyeong|M|23|183|74|South Korea-2
388|An Jeong-Hwa|F|27|162|62|South Korea
389|An Kum-Ae|F|32|160|52|North Korea
390|An Sang-Mi|F|18|155|48|South Korea
391|Viktor An|M|28|170|65|Russia
392|An Yeong-Su|M|20|174|70|South Korea
393|Ana Flvia Chritaro Daniel Sanglard|F|26|187|73|Brazil
394|Ana Paula Rodrigues Connelly (-Rodrigues Henkel)|F|24|183|68|Brazil
395|Borislav Ananiev|M|24|185|80|Bulgaria
396|Tatyana Vasilyevna Ananko|F|16|171|52|Belarus
397|Flavio Anastasia|M|23|188|81|Italy
398|Svetlana Anastasovski-Obuina|F|23|176|65|Yugoslavia
399|Mario Ani|M|20|195|84|Croatia
400|Zygmunt Jzef Anczok|M|26|178|77|Poland
401|milie Andol|F|28|170|97|France
402|Stefan "Steve" Anderhub|M|31|187|104|Switzerland-1
403|Elizabeth Rambo "Beth" Anders|F|32|174|73|United States
404|Anne Dsane Andersen|F|23|183|86|Denmark
405|Anne Nymark Andersen (-Rylandsholm)|F|23|168|56|Norway
406|Camilla Rseler Andersen|F|27|169|65|Denmark
407|Kjerstin Andersen|F|29|179|82|Norway
408|Kristine Andersen|F|28|172|72|Denmark
409|Linda Widwey Andersen (-Cerup-Simonsen)|F|23|169|64|Norway
410|Mads Christian Kruse Andersen|M|30|187|75|Denmark
411|Nina Nymark Andersen (-Jakobsen)|F|23|173|60|Norway
412|Ove Andersen|M|28|178|70|Finland
413|Paul Kuhlman "Poul" Andersen|M|30|173|73|Denmark
414|Terje Andersen|M|27|180|75|Norway
415|Grete Andersen-Waitz|F|30|172|53|Norway
416|nderson Lus de Abreu Oliveira|M|20|176|77|Brazil
