id|Sport|EventPCount
147|Cross Country Skiing|Cross Country Skiing Men''s 10/15 kilometres Pursuit|12
148|Athletics|Athletics Women''s 20 kilometres Walk|22
149|Cycling|Cycling Men''s Tandem Sprint, 2,000 metres|60
150|Rugby|Rugby Men''s Rugby|60
151|Shooting|Shooting Men''s Trap|54
152|Speed Skating|Speed Skating Men''s 10,000 metres|92
153|Rowing|Rowing Women''s Quadruple Sculls|186
154|Wrestling|Wrestling Men''s Welterweight, Greco-Roman|98
155|Snowboarding|Snowboarding Women''s Halfpipe|30
156|Swimming|Swimming Women''s 200 metres Individual Medley|60
157|Rowing|Rowing Women''s Lightweight Double Sculls|64
158|Nordic Combined|Nordic Combined Men''s Team|166
159|Cycling|Cycling Men''s Omnium|12
160|Ski Jumping|Ski Jumping Women''s Normal Hill, Individual|6
161|Athletics|Athletics Men''s 5 mile|8
162|Canoeing|Canoeing Men''s Canadian Doubles, Slalom|96
163|Swimming|Swimming Women''s 50 metres Freestyle|42
164|Shooting|Shooting Mixed Free Pistol, 50 metres|24
165|Wrestling|Wrestling Women''s Middleweight, Freestyle|28
166|Sailing|Sailing Women''s One Person Dinghy|38
167|Swimming|Swimming Men''s 1,000 metres Freestyle|2
168|Swimming|Swimming Men''s 4,000 metres Freestyle|2
169|Swimming|Swimming Men''s 50 yard Freestyle|4
170|Swimming|Swimming Men''s 100 yard Freestyle|4
171|Swimming|Swimming Men''s 4 x 250 metres Freestyle Relay|4
172|Swimming|Swimming Women''s 100 metres Freestyle|88
173|Wrestling|Wrestling Women''s Light-Heavyweight, Freestyle|8
174|Weightlifting|Weightlifting Men''s Flyweight|32
175|Gymnastics|Gymnastics Women''s Individual All-Around|84
176|Modern Pentathlon|Modern Pentathlon Women''s Individual|30
177|Short Track Speed Skating|Short Track Speed Skating Men''s 500 metres|30
178|Cross Country Skiing|Cross Country Skiing Men''s Team Sprint|36
179|Tug-Of-War|Tug-Of-War Men''s Tug-Of-War|16
180|Shooting|Shooting Men''s Air Rifle, 10 metres|46
181|Curling|Curling Men''s Curling|130
182|Canoeing|Canoeing Women''s Kayak Singles, 200 metres|12
183|Synchronized Swimming|Synchronized Swimming Women''s Solo|18
184|Swimming|Swimming Men''s 100 metres Butterfly|80
185|Taekwondo|Taekwondo Women''s Heavyweight|30
186|Athletics|Athletics Women''s 400 metres Hurdles|54
187|Cycling|Cycling Women''s BMX|18
188|Trampolining|Trampolining Men''s Individual|18
189|Biathlon|Biathlon Women''s 15 kilometres|42
190|Canoeing|Canoeing Men''s Kayak Singles, Slalom|48
191|Cycling|Cycling Men''s Road Race, Team|12
192|Athletics|Athletics Women''s 5,000 metres|34
193|Table Tennis|Table Tennis Women''s Team|36
194|Sailing|Sailing Mixed Skiff|36
195|Boxing|Boxing Men''s Featherweight|114
196|Cross Country Skiing|Cross Country Skiing Men''s 15 kilometres|74
197|Nordic Combined|Nordic Combined Men''s Normal Hill / 10 km, Individual|10
198|Diving|Diving Men''s Synchronized Platform|40
199|Rugby Sevens|Rugby Sevens Men''s Rugby Sevens|76
200|Wrestling|Wrestling Men''s Light-Flyweight, Freestyle|40
201|Athletics|Athletics Men''s 3,500 metres Walk|6
202|Athletics|Athletics Men''s 10 mile Walk|6
203|Athletics|Athletics Men''s 10 kilometres Walk|14
204|Wrestling|Wrestling Men''s All-Around, Greco-Roman|2
205|Swimming|Swimming Women''s 400 metres Freestyle|96
206|Alpine Skiing|Alpine Skiing Men''s Super G|48
207|Swimming|Swimming Women''s 100 metres Butterfly|88
208|Swimming|Swimming Women''s 200 metres Butterfly|70
209|Swimming|Swimming Women''s 800 metres Freestyle|78
210|Swimming|Swimming Men''s 10 kilometres Open Water|18
211|Freestyle Skiing|Freestyle Skiing Women''s Moguls|42
212|Ski Jumping|Ski Jumping Men''s Large Hill, Individual|76
213|Equestrianism|Equestrianism Men''s Three-Day Event, Individual|10
214|Equestrianism|Equestrianism Men''s Three-Day Event, Team|48
215|Cycling|Cycling Men''s 1,000 metres Time Trial|72
216|Cycling|Cycling Women''s Team Sprint|16
217|Athletics|Athletics Men''s 110 metres Hurdles|154
218|Swimming|Swimming Men''s 200 metres Freestyle|74
219|Luge|Luge Mixed Team Relay|24
220|Speed Skating|Speed Skating Men''s Team Pursuit (8 laps)|68
221|Canoeing|Canoeing Men''s Kayak Relay 4 x 500 metres|24
